Date,Open,High,Low,Close,Adj Close,Volume
2015-10-28,9.23,10.35,8.72,9.45,9.45,1986500.0
2015-10-29,9.6,10.19,9.5,9.75,9.75,1201000.0
2015-10-30,,,,,,
2015-11-02,,,,,,
2015-11-03,13.66,14.84,12.15,14.33,14.33,6873300.0
2015-11-04,14.18,14.42,13.08,13.3,13.3,2723800.0
2015-11-05,,,,,,
2015-11-06,,,,,,
2015-11-09,,,,,,
2015-11-10,,,,,,
2015-11-11,,,,,,
2015-11-12,,,,,,
2015-11-13,,,,,,
2015-11-16,,,,,,
2015-11-17,,,,,,
2015-11-18,,,,,,
2015-11-19,,,,,,
2015-11-20,,,,,,
2015-11-23,,,,,,
2015-11-24,,,,,,
2015-11-25,,,,,,
2015-11-27,,,,,,
2015-11-30,,,,,,
2015-12-01,,,,,,
2015-12-02,,,,,,
2015-12-03,,,,,,
2015-12-04,,,,,,
2015-12-07,,,,,,
2015-12-08,,,,,,
2015-12-09,,,,,,
2015-12-10,,,,,,
2015-12-11,6.61,7.15,6.55,7.11,7.11,2058700.0
2015-12-14,7.44,7.99,7.39,7.61,7.61,3477700.0
2015-12-15,,,,,,
2015-12-16,,,,,,
2015-12-17,,,,,,
2015-12-18,7.46,7.95,7.3,7.49,7.49,3265900.0
2015-12-21,7.67,7.86,7.49,7.77,7.77,1638200.0
2015-12-22,7.53,7.77,7.26,7.5,7.5,1031500.0
2015-12-23,,,,,,
2015-12-24,7.45,7.5,7.1,7.1,7.1,703400.0
2015-12-28,7.1,7.12,6.5,7.03,7.03,1780000.0
2015-12-29,,,,,,
2015-12-30,5.89,6.06,5.4,5.5,5.5,3806300.0
2015-12-31,5.09,5.61,4.6,5.57,5.57,4387600.0
2016-01-04,5.49,6.34,5.3,6.26,6.26,2658300.0
2016-01-05,6.12,6.327,6.0,6.12,6.12,1443800.0
2016-01-06,6.05,6.05,4.95,5.11,5.11,2643200.0
2016-01-07,4.98,5.11,4.47,4.53,4.53,1965900.0
2016-01-08,4.7,4.88,3.77,4.6,4.6,3366000.0
2016-01-11,5.68,5.8,4.82,5.16,5.16,5171500.0
2016-01-12,,,,,,
2016-01-13,,,,,,
2016-01-14,,,,,,
2016-01-15,3.76,4.18,3.76,4.01,4.01,1064000.0
2016-01-19,4.02,4.07,3.65,3.72,3.72,1168800.0
2016-01-20,3.55,3.6,3.29,3.58,3.58,1375700.0
2016-01-21,3.55,3.88,3.52,3.61,3.61,727500.0
2016-01-22,3.65,3.781,3.53,3.66,3.66,461700.0
2016-01-25,3.7,4.18,3.5,4.12,4.12,1041900.0
2016-01-26,4.06,4.18,3.78,3.81,3.81,945700.0
2016-01-27,,,,,,
2016-01-28,,,,,,
2016-01-29,,,,,,
2016-02-01,3.6,3.95,3.51,3.89,3.89,553100.0
2016-02-02,4.0,4.9,3.95,4.27,4.27,3712600.0
2016-02-03,4.25,4.67,4.05,4.45,4.45,1606600.0
2016-02-04,4.37,4.83,4.36,4.74,4.74,1115700.0
2016-02-05,4.7,4.736,4.52,4.64,4.64,722700.0
2016-02-08,4.25,4.4,4.08,4.32,4.32,980700.0
2016-02-09,4.12,4.4,3.603,3.71,3.71,1204000.0
2016-02-10,,,,,,
2016-02-11,,,,,,
2016-02-12,,,,,,
2016-02-16,3.78,3.84,3.55,3.64,3.64,403000.0
2016-02-17,3.72,3.95,3.72,3.81,3.81,553000.0
2016-02-18,3.82,4.35,3.82,4.25,4.25,962400.0
2016-02-19,4.25,4.26,3.85,3.98,3.98,729500.0
2016-02-22,3.95,4.13,3.8,4.03,4.03,491200.0
2016-02-23,3.93,4.07,3.917,4.05,4.05,260100.0
2016-02-24,3.89,4.28,3.83,4.24,4.24,447400.0
2016-02-25,4.16,4.5,4.15,4.4,4.4,591600.0
2016-02-26,,,,,,
2016-02-29,4.5,4.62,4.3,4.47,4.47,436600.0
2016-03-01,4.45,4.59,4.368,4.55,4.55,342100.0
2016-03-02,4.46,4.7,4.41,4.63,4.63,427900.0
2016-03-03,4.6,4.91,4.54,4.8,4.8,506000.0
2016-03-04,4.89,4.9,4.36,4.47,4.47,766700.0
2016-03-07,4.45,4.72,4.4,4.61,4.61,506400.0
2016-03-08,4.62,4.95,4.56,4.8,4.8,528500.0
2016-03-09,4.84,5.24,4.78,5.16,5.16,866400.0
2016-03-10,5.5,5.5,4.72,5.48,5.48,1635400.0
2016-03-11,5.64,5.64,5.02,5.09,5.09,1167800.0
2016-03-14,4.76,5.089,4.58,4.93,4.93,1352000.0
2016-03-15,4.87,4.9,4.51,4.52,4.52,549100.0
2016-03-16,4.5,4.66,4.38,4.55,4.55,442600.0
2016-03-17,4.59,4.86,4.5,4.72,4.72,422700.0
2016-03-18,4.69,4.95,4.69,4.92,4.92,335300.0
2016-03-21,4.92,5.05,4.725,4.79,4.79,423200.0
2016-03-22,4.8,4.95,4.68,4.84,4.84,311700.0
2016-03-23,4.81,4.9,4.56,4.63,4.63,333200.0
2016-03-24,4.54,4.84,4.51,4.63,4.63,276000.0
2016-03-28,4.63,4.76,4.55,4.61,4.61,146200.0
2016-03-29,4.82,4.95,4.65,4.78,4.78,487200.0
2016-03-30,4.78,5.17,4.75,4.94,4.94,643800.0
2016-03-31,5.01,5.02,4.77,4.9,4.9,439600.0
2016-04-01,5.01,5.17,4.81,5.03,5.03,512000.0
2016-04-04,5.07,5.43,4.97,5.36,5.36,689000.0
2016-04-05,5.38,6.0,5.3,5.73,5.73,1313000.0
2016-04-06,5.79,5.97,5.42,5.47,5.47,1127500.0
2016-04-07,,,,,,
2016-04-08,6.03,6.23,5.71,5.91,5.91,8091900.0
2016-04-11,5.75,5.8,5.39,5.48,5.48,1559000.0
2016-04-12,5.29,5.482,5.11,5.43,5.43,886300.0
2016-04-13,,,,,,
2016-04-14,5.66,5.77,5.5,5.67,5.67,374400.0
2016-04-15,5.65,5.69,5.55,5.57,5.57,267100.0
2016-04-18,5.65,5.79,5.56,5.66,5.66,499500.0
2016-04-19,,,,,,
2016-04-20,5.47,5.67,5.3,5.31,5.31,492400.0
2016-04-21,5.27,5.35,5.11,5.23,5.23,431600.0
2016-04-22,5.21,5.3,5.01,5.24,5.24,551200.0
2016-04-25,5.96,6.491,5.85,6.06,6.06,7001100.0
2016-04-26,6.01,6.1,5.7,5.9,5.9,1671600.0
2016-04-27,5.9,5.989,5.58,5.66,5.66,942700.0
2016-04-28,5.59,5.697,5.5,5.56,5.56,565100.0
2016-04-29,5.58,5.6,5.35,5.46,5.46,665800.0
2016-05-02,5.26,5.54,5.06,5.24,5.24,1494000.0
2016-05-03,5.15,5.53,5.12,5.5,5.5,564700.0
2016-05-04,5.45,5.48,5.12,5.2,5.2,410400.0
2016-05-05,5.2,5.28,5.12,5.19,5.19,282600.0
2016-05-06,5.1,5.13,4.76,4.81,4.81,654100.0
2016-05-09,4.75,4.79,4.2,4.2,4.2,1137700.0
2016-05-10,4.26,4.67,4.25,4.49,4.49,626500.0
2016-05-11,,,,,,
2016-05-12,,,,,,
2016-05-13,,,,,,
2016-05-16,3.99,4.09,3.96,4.0,4.0,298400.0
2016-05-17,4.02,4.17,3.87,4.05,4.05,494800.0
2016-05-18,4.13,4.25,4.0,4.09,4.09,427700.0
2016-05-19,4.05,4.17,3.92,4.15,4.15,322200.0
2016-05-20,4.3,4.59,4.18,4.43,4.43,850200.0
2016-05-23,4.51,4.55,4.29,4.48,4.48,457100.0
2016-05-24,,,,,,
2016-05-25,4.45,4.5,4.35,4.45,4.45,261200.0
2016-05-26,4.44,4.48,4.36,4.43,4.43,217600.0
2016-05-27,,,,,,
2016-05-31,4.41,4.49,4.36,4.44,4.44,199600.0
2016-06-01,4.46,4.46,4.35,4.39,4.39,290100.0
2016-06-02,4.38,4.7,4.3,4.63,4.63,479300.0
2016-06-03,,,,,,
2016-06-06,4.62,4.75,4.46,4.7,4.7,436500.0
2016-06-07,4.74,4.84,4.61,4.64,4.64,291400.0
2016-06-08,4.69,4.733,4.3,4.35,4.35,452200.0
2016-06-09,4.42,4.54,4.34,4.44,4.44,278300.0
2016-06-10,4.44,4.44,4.17,4.21,4.21,344600.0
2016-06-13,4.2,4.33,4.005,4.05,4.05,556500.0
2016-06-14,4.05,4.14,3.95,4.08,4.08,292200.0
2016-06-15,4.09,4.16,4.01,4.15,4.15,170300.0
2016-06-16,4.16,4.3,4.05,4.29,4.29,346400.0
2016-06-17,4.28,4.28,4.02,4.02,4.02,272400.0
2016-06-20,4.06,4.18,4.03,4.11,4.11,272100.0
2016-06-21,4.32,4.32,4.01,4.23,4.23,362400.0
2016-06-22,4.3,4.32,4.07,4.15,4.15,457400.0
2016-06-23,4.15,4.39,4.13,4.27,4.27,524800.0
2016-06-24,4.08,4.63,4.06,4.55,4.55,3614900.0
2016-06-27,4.6,4.66,4.37,4.54,4.54,551900.0
2016-06-28,,,,,,
2016-06-29,,,,,,
2016-06-30,5.61,6.11,5.393,6.11,6.11,2151000.0
2016-07-01,6.17,6.17,5.6,5.89,5.89,1225300.0
2016-07-05,5.8,6.47,5.66,6.26,6.26,1041900.0
2016-07-06,6.26,6.4,6.03,6.3,6.3,643600.0
2016-07-07,6.37,6.99,6.3,6.94,6.94,1135000.0
2016-07-08,6.91,8.0,6.78,7.58,7.58,1958500.0
2016-07-11,7.65,8.3,7.43,7.73,7.73,2398400.0
2016-07-12,7.48,7.84,7.1,7.62,7.62,1647900.0
2016-07-13,7.44,7.6,7.06,7.1,7.1,1177800.0
2016-07-14,7.0,7.07,6.62,6.8,6.8,1282800.0
2016-07-15,6.8,7.17,6.7,7.06,7.06,783600.0
2016-07-18,7.05,7.49,7.0,7.37,7.37,898300.0
2016-07-19,7.41,7.66,6.9,7.0,7.0,1025700.0
2016-07-20,7.05,7.31,7.05,7.16,7.16,515300.0
2016-07-21,7.12,7.32,7.0,7.11,7.11,699200.0
2016-07-22,7.1,7.37,6.75,6.86,6.86,987300.0
2016-07-25,7.45,7.82,7.18,7.46,7.46,1776600.0
2016-07-26,7.54,7.61,7.09,7.49,7.49,1046100.0
